dataset,Model,Normalization method,R2 Score,CPT KL Divergence,CPT JS Divergence,Number of Parents,entropy,predicted_entropy,BN KL Divergence
agropastoral4,gpt-4o,Raw,-0.265778935636662,0.38264730301051686,0.17882587322254945,3,0.5052091355242566,0.8985468530417238,
agropastoral4,gpt-4o,Normalized,-0.1285467282668682,0.585147889275753,0.15699242124259913,3,0.5052091355242566,0.8673042253772917,
agropastoral4,gpt-4o,Raw,0.04360068647749993,0.4086005040820347,0.23642895665246902,5,0.35001154124480777,0.766716002654125,-1.0
agropastoral4,gpt-4o,Normalized,0.15371886965327497,0.7166868079722138,0.19520356568230476,5,0.35001154124480777,0.6703471722587813,8.202171500004857
algal1,gpt-4o,Raw,0.3204654599187291,0.1301045705510406,0.024067056811788345,2,0.8291538174707366,0.8231907952773148,
algal1,gpt-4o,Normalized,0.2932654088985236,0.09816154887735067,0.02332183838896694,2,0.8291538174707366,0.8018535767235534,
algal1,gpt-4o,Raw,-36.5,0.07400782781118923,0.000982685492191531,3,0.9182238168441618,0.8925027237470378,-1.0
algal1,gpt-4o,Normalized,-13.631633714880333,0.0014371350625663306,0.00036086207426433447,3,0.9182238168441618,0.9175489624598571,0.4788298628585552
algalactivity1,gpt-4o,Raw,-0.2862071832391089,0.14050685220013873,0.04184350956738793,2,0.8121970856212749,0.8957611470681922,-1.0
algalactivity1,gpt-4o,Normalized,-0.19054130232875943,0.15448576086458013,0.04018121939191128,2,0.8121970856212749,0.9017064576838582,0.9877730334940829
algalactivity2,gpt-4o,Raw,-0.3099117215992364,0.21011437485476847,0.05894314424616157,2,0.7645516957579964,0.8614484123636739,-1.0
algalactivity2,gpt-4o,Normalized,-0.3189548863469245,0.22671957293055559,0.057762033334828294,2,0.7645516957579964,0.8592673464967471,0.988632786308373
algorithms3,gpt-4o,Raw,-0.061289531747977355,0.02716068691917538,0.03177886435976314,2,0.8424499252474187,0.9872908850739175,-1.0
algorithms3,gpt-4o,Normalized,0.017221851896125906,0.10744504332313609,0.028276818808716873,2,0.8424499252474187,0.9992537764346195,0.33021199845838967
algorithms4,gpt-4o,Raw,-0.15467904098994611,-0.029151027518307435,0.02864971001791346,2,0.8666997688646867,0.9806337296364455,-1.0
algorithms4,gpt-4o,Normalized,0.0,0.09239667721972747,0.02431876876795234,2,0.8666997688646867,1.0,0.3893050138314054
APSsystem,gpt-4o,Raw,0.662779201757598,0.11130645379349005,0.04247375940989803,2,0.5150297931074775,0.8241878129112152,-1.0
APSsystem,gpt-4o,Normalized,0.6903987468902218,0.13695679851279788,0.041200098343043376,2,0.5150297931074775,0.8180766861314789,1.2661852893782652
fake_asia,gpt-4o,Raw,0.9030075935935272,0.08532760595020135,0.01407217640635707,2,0.3788367296129292,0.41929529048394204,-1.0
fake_asia,gpt-4o,Normalized,0.892292056561285,0.061805830697659866,0.01425255802478557,2,0.3788367296129292,0.4015837740079793,0.6308447541307628
augmenting,gpt-4o,Raw,-0.006598793363499222,0.3739940676241856,0.10951547476835087,2,0.44865084408561495,0.7830476079934352,
augmenting,gpt-4o,Normalized,-0.0007350909305443576,0.39672841011157683,0.10708774594568242,2,0.44865084408561495,0.7897056913869761,
augmenting,gpt-4o,Raw,-0.06912726823848891,0.018982988756314094,0.058012760535131346,3,0.7623848663409786,0.9327111413440674,-1.0
augmenting,gpt-4o,Normalized,0.07797324151945773,0.19022948124038375,0.04950116152512889,3,0.7623848663409786,0.8956775042356272,1.283419170990712
bank,gpt-4o,Raw,0.3463854817714793,0.05559980492256797,0.021029058584750748,2,0.8048600329537507,0.8839015964171426,
bank,gpt-4o,Normalized,0.4562088433364283,0.07581475661589024,0.019716414189609087,2,0.8048600329537507,0.8867467385358705,
bank,gpt-4o,Raw,0.8669445657652176,0.043088016158421824,0.03638713449379932,4,0.5830516520919519,0.7331061285630343,-1.0
bank,gpt-4o,Normalized,0.847339462792079,0.11075343113407995,0.0350051257786929,4,0.5830516520919519,0.715780758751227,0.38462114582798324
bankruptcy,gpt-4o,Raw,-7.114541832669323,0.6638849856277746,0.1401185801345892,2,0.9093156035505554,0.5751001096342054,
bankruptcy,gpt-4o,Normalized,-6.805527043766153,0.7116792623762872,0.13775560105665444,2,0.9093156035505554,0.5945339257972706,
bankruptcy,gpt-4o,Raw,-1.019869298513541,0.4099358651794675,0.12610356428382116,3,0.7311463982937698,0.8077697432074523,-1.0
bankruptcy,gpt-4o,Normalized,-0.8951674822805349,0.457732477297677,0.12200452034829264,3,0.7311463982937698,0.8065019595383298,5.154618791309902
beatles,gpt-4o,Raw,0.28437500000000004,2.760846969730344,0.10309521267248267,2,0.2,0.03776962753526188,-1.0
beatles,gpt-4o,Normalized,0.28437500000000004,2.760846969730344,0.10309521267248267,2,0.2,0.03776962753526188,10.316717174336304
blockchain,gpt-4o,Raw,-0.09098915647105676,0.3449431303690095,0.09723089830369709,2,0.5400939886252182,0.8250093981130521,-1.0
blockchain,gpt-4o,Normalized,-0.08191402667755354,0.35685155488870146,0.09605789961790602,2,0.5400939886252182,0.8196572437347472,2.7116264423271317
BOPfailure1,gpt-4o,Raw,0.019264784872394802,0.6344266774875446,0.19654662933804534,2,0.03282352095311872,0.8395200264598132,-1.0
BOPfailure1,gpt-4o,Normalized,0.04158060084612747,0.6510069916511962,0.1923308750816333,2,0.03282352095311872,0.8551727029559085,9.282296549939877
BOPfailure2,gpt-4o,Raw,-0.045801512466898675,0.6344353367916663,0.22184710089053722,2,0.008856952201363984,0.9546568625556637,-1.0
BOPfailure2,gpt-4o,Normalized,-0.028251617675096652,0.702368673159404,0.21509615004604063,2,0.008856952201363984,0.9684859129005344,26.89446123337968
BOPfailure3,gpt-4o,Raw,0.15005310772242453,0.47842395605638094,0.1900028210982876,2,0.01831108684160839,0.8603568431322021,-1.0
BOPfailure3,gpt-4o,Normalized,0.20790483514350544,0.5796223198251441,0.17612856989045728,2,0.01831108684160839,0.906794673455633,14.77643126120865
chds,gpt-4o,Raw,0.16846461441974714,0.18979292491140187,0.033723515756572384,2,0.768144034678592,0.8428814824456977,
chds,gpt-4o,Normalized,0.1680288728839231,0.13492241264887178,0.03304778357736717,2,0.768144034678592,0.8247083640093237,
chds,gpt-4o,Raw,-0.32716417910447704,-0.14164991507663088,0.008785853467839218,3,0.8874922350438328,0.8733110242996568,-1.0
chds,gpt-4o,Normalized,0.4791054180891382,0.019391834565076503,0.004777604473599274,3,0.8874922350438328,0.8493194529460366,0.4461588339736473
conasense,gpt-4o,Raw,-2.808138359430556,-0.2132332498307239,0.06555172273473221,3,0.853722060478103,0.8873251023943046,
conasense,gpt-4o,Normalized,0.04113454261182825,0.08304885708142695,0.020992803802483456,3,0.853722060478103,0.9047405606601503,
conasense,gpt-4o,Raw,-2.589525114699397,-0.5754548108352061,0.23627770330856374,4,0.6406413955118508,0.9007048416314984,-1.0
conasense,gpt-4o,Normalized,0.2768540303432413,0.2645958914705552,0.07750506268330574,4,0.6406413955118508,0.7904183754685276,0.7532549551147435
concrete3,gpt-4o,Raw,0.14984450098953916,0.2571924799262837,0.056873885825802,2,0.5857291145041132,0.8159011126412277,
concrete3,gpt-4o,Normalized,0.1812235381173275,0.22207230781293819,0.056686771293855326,2,0.5857291145041132,0.7851666094870023,
concrete3,gpt-4o,Raw,-0.10279910824869942,-0.009243802085447238,0.10101033915667387,3,0.6726171334888515,0.947828928189513,
concrete3,gpt-4o,Normalized,0.13404388712766835,0.28110765176244984,0.07422841965732842,3,0.6726171334888515,0.904321435575259,
concrete3,gpt-4o,Raw,0.0,-0.07634971744898872,0.005967120947283421,5,0.7219280948873623,0.7531205545962323,-1.0
concrete3,gpt-4o,Normalized,0.0,0.018960462387511853,0.0045510743996094866,5,0.7219280948873623,0.7156708312679251,0.4472288574781391
concrete4,gpt-4o,Raw,-0.1890281487569343,0.20984847850472363,0.05414874149346865,2,0.7216668175851716,0.8632815446966858,
concrete4,gpt-4o,Normalized,-0.16565694557659927,0.20775623419131248,0.05299558805453855,2,0.7216668175851716,0.8655641794211321,
concrete4,gpt-4o,Raw,-0.5473886048210372,0.9718531389449218,0.22458469987283552,3,0.48527571430355554,0.8756489149058405,
concrete4,gpt-4o,Normalized,-0.5770837843908145,0.9205598453221439,0.22955298420972653,3,0.48527571430355554,0.8912934572647232,
concrete4,gpt-4o,Raw,-0.6838942307692306,-0.18727378632666491,0.0352553136291307,5,0.6825279638017293,0.7916237365935326,-1.0
concrete4,gpt-4o,Normalized,0.1425906843998752,0.08446941810063055,0.020974275554113714,5,0.6825279638017293,0.69704739947131,1.2233237488066093
concrete5,gpt-4o,Raw,-95.62499999999999,0.6560981969430608,0.10634275572574767,2,0.9953784388202257,0.5954618442383217,
concrete5,gpt-4o,Normalized,-113.96604938271602,0.5507376851530238,0.11159844656746641,2,0.9953784388202257,0.5032583347756456,
concrete5,gpt-4o,Raw,0.4558467998473087,0.10691848491364947,0.06573085805823793,3,0.6099844869316087,0.8668527222150408,
concrete5,gpt-4o,Normalized,0.44556755105918777,0.22445454658542552,0.060547014197108645,3,0.6099844869316087,0.8458624664523361,
concrete5,gpt-4o,Raw,-0.6469447138700295,-0.12067795570079974,0.07493236593450685,5,0.6545140749134422,0.8174740551905324,-1.0
concrete5,gpt-4o,Normalized,-0.0624266429357625,0.18972829702750052,0.050704805332777415,5,0.6545140749134422,0.70207189547582,0.954863149336691
concrete6,gpt-4o,Raw,0.4536862003780715,0.11535230413791342,0.02472023227891846,2,0.8414646362081757,0.46899559358928117,
concrete6,gpt-4o,Normalized,0.4536862003780715,0.11535230413791342,0.02472023227891846,2,0.8414646362081757,0.46899559358928117,
concrete6,gpt-4o,Raw,0.4965753424657534,-0.010070409938237004,0.05457023944788067,3,0.6937094643756984,0.877841379652459,
concrete6,gpt-4o,Normalized,0.513343587153339,0.16876681324814474,0.04613346272093599,3,0.6937094643756984,0.8548883731166365,
concrete6,gpt-4o,Raw,-2.2676282051282044,-0.10815904054280012,0.07169815623461624,5,0.6891013796842052,0.7934673280679587,-1.0
concrete6,gpt-4o,Normalized,-0.5683760683760681,0.2061452859836045,0.04762425219804794,5,0.6891013796842052,0.6856067124644636,0.4979090433011726
concrete7,gpt-4o,Raw,-1537.499999999997,0.15299987444928603,0.07239254728905928,2,0.9997114417528099,0.5041625260016593,
concrete7,gpt-4o,Normalized,-1128.5444234404517,0.29276181502099946,0.06483266761030661,2,0.9997114417528099,0.6665783579949205,
concrete7,gpt-4o,Raw,0.31131852551984873,0.1428518154410814,0.041793380495928935,3,0.7570692200234816,0.8512293013198696,
concrete7,gpt-4o,Normalized,0.2557195363238609,0.16486025870138843,0.04121626429785562,3,0.7570692200234816,0.8492304041937645,
concrete7,gpt-4o,Raw,-0.687245710242349,-0.12327894572179278,0.0768414199743389,5,0.6439823303573559,0.7593386819816443,-1.0
concrete7,gpt-4o,Normalized,0.13207433613295794,0.20222963793887672,0.05019713453202805,5,0.6439823303573559,0.6714720324641437,1.0200450744237397
constructionproductivity,gpt-4o,Raw,-0.7305032798504054,0.07589331983220605,0.043607011060580875,2,0.8604343319286353,0.8462697391863121,-1.0
constructionproductivity,gpt-4o,Normalized,-0.5227903963950886,0.1616137670655854,0.03826620487717991,2,0.8604343319286353,0.8778047148976882,1.9717383144859935
corrosion,gpt-4o,Raw,-0.01568951217751069,0.19727630526836426,0.07125643643598392,2,0.6255747847909878,0.805991894543118,
corrosion,gpt-4o,Normalized,0.07521247539590992,0.258272675624346,0.06684392276894725,2,0.6255747847909878,0.8313822271448414,
corrosion,gpt-4o,Raw,-0.6261970290914338,0.1777991468450288,0.1674773478799852,3,0.5970752344902334,0.8496235706944354,
corrosion,gpt-4o,Normalized,-0.17313919587337034,0.5115463374783653,0.1277572624293025,3,0.5970752344902334,0.833343088449925,
corrosion,gpt-4o,Raw,-1.3239956907023767,0.6896048926594605,0.3795537516127886,4,0.41697334887893556,0.8046345692295495,-1.0
corrosion,gpt-4o,Normalized,-0.4360872332036041,1.196823554655654,0.2641995343349152,4,0.41697334887893556,0.7290506836088277,6.976433662702503
covidfear,gpt-4o,Raw,-0.09812287895727678,0.09242751729270061,0.061978849763303735,2,0.7006344637607687,0.9684932549377447,
covidfear,gpt-4o,Normalized,-0.0026466202150887685,0.20798337798963634,0.05827031212299044,2,0.7006344637607687,0.9947937606110278,
covidfear,gpt-4o,Raw,0.318894758698965,0.03618997510301627,0.06333909444703399,3,0.670320341796964,0.842890243240429,-1.0
covidfear,gpt-4o,Normalized,0.391436853948383,0.2118314715804257,0.05373562486200209,3,0.670320341796964,0.8226369871426319,1.786948380124016
covidrisk,gpt-4o,Raw,-0.16680424973396568,0.37057242417419084,0.09100012996883967,2,0.5841477563699963,0.836672766024175,-1.0
covidrisk,gpt-4o,Normalized,-0.14936246044614876,0.34190725581328063,0.08923766720404937,2,0.5841477563699963,0.841226156223504,2.358584026194782
criminal3,gpt-4o,Raw,0.3784153858646099,0.28753094047882327,0.08864535299883136,2,0.27612811136460413,0.6914602271939931,-1.0
criminal3,gpt-4o,Normalized,0.42435656685567824,0.2989688067216071,0.08527076028389118,2,0.27612811136460413,0.6966103981473222,1.8237843469269763
criminal4,gpt-4o,Raw,0.42205482159194885,0.2776175053695471,0.10317874575013768,2,0.21192220675778012,0.7191089066917474,-1.0
criminal4,gpt-4o,Normalized,0.45167064906464693,0.32402032749276,0.09768488324607143,2,0.21192220675778012,0.7437072247987787,2.385582366111694
curacao1,gpt-4o,Raw,0.48263709061542637,0.2810944878442104,0.0784177360865804,2,0.3374852243538178,0.7955410156418093,
curacao1,gpt-4o,Normalized,0.512368309058863,0.25990773352585184,0.07749996505436177,2,0.3374852243538178,0.7780860458919049,
curacao1,gpt-4o,Raw,-6.324116972943784e+30,-0.18695405351303043,0.016046163069193466,3,0.9182624971143587,0.9412023353410582,-1.0
curacao1,gpt-4o,Normalized,-1.678577366843954e+30,0.02403736949655883,0.005913596311101083,3,0.9182624971143587,0.9013567611956149,1.4638817577546308
curacao2,gpt-4o,Raw,0.5161641186778658,0.12663040012166765,0.03979827411091767,2,0.636123660976369,0.8061557696219352,
curacao2,gpt-4o,Normalized,0.5425910267141077,0.1369063906065459,0.03829916243373677,2,0.636123660976369,0.8006575537384838,
curacao2,gpt-4o,Raw,-4.249578032256684e+30,-0.02403137067879894,0.013194263951796245,3,0.9182624971143587,0.9021827758388626,-1.0
curacao2,gpt-4o,Normalized,-2.9982364697283103e+30,0.042371767776099745,0.010400368383198102,3,0.9182624971143587,0.8881405990521756,0.8475644668593642
curacao3,gpt-4o,Raw,0.5400626953327856,0.15690869358038348,0.05529929292651592,2,0.48012464587157383,0.814301560719198,
curacao3,gpt-4o,Normalized,0.5717795258097429,0.18108332597064267,0.05240722317260107,2,0.48012464587157383,0.8154744466682482,
curacao3,gpt-4o,Raw,0.0,-0.2314937270003154,0.0248014080089019,3,0.9182624971143586,0.9410814867874998,-1.0
curacao3,gpt-4o,Normalized,0.0,0.04756685709963106,0.011272215565416355,3,0.9182624971143586,0.8874166319994554,1.6977860214782963
diabetes,gpt-4o,Raw,0.1947942034204756,0.1564395876987522,0.019630337775525017,2,0.8930371136826609,0.8312810491144749,-1.0
diabetes,gpt-4o,Normalized,0.038165434598698256,0.09140965295197699,0.01988204426155122,2,0.8930371136826609,0.8003489313511619,0.9944323900588966
disputed1,gpt-4o,Raw,0.49746543778801844,0.28380359732282184,0.09653371083413735,2,0.14058780412565,0.6139529606983818,-1.0
disputed1,gpt-4o,Normalized,0.5572658042550223,0.329010238843237,0.0898516151880553,2,0.14058780412565,0.6304191283719087,2.454198878395664
drainage,gpt-4o,Raw,-0.4122275452291366,0.4467092485159957,0.11667857230181454,2,0.5084211161663673,0.6672805632250751,-1.0
drainage,gpt-4o,Normalized,-0.3578023115547595,0.4907663561298895,0.1127652822817772,2,0.5084211161663673,0.6769965909287792,9.900027177526752
dustexplosion,gpt-4o,Raw,-0.6705950505983096,0.4503542960878276,0.1149629151720574,2,0.6237939996062709,0.7377062054055954,
dustexplosion,gpt-4o,Normalized,-0.6728279660616243,0.5120198934495408,0.11260636479867107,2,0.6237939996062709,0.7428182020707429,
dustexplosion,gpt-4o,Raw,-0.2523333333333335,0.5413260120750686,0.2964256926612937,4,0.3263961707843471,0.7989432855698252,
dustexplosion,gpt-4o,Normalized,0.04863357300614535,0.9197884700262827,0.2286592082301055,4,0.3263961707843471,0.7193440783830558,
dustexplosion,gpt-4o,Raw,-3.338333333333334,0.22996780905998704,0.1286914109306419,5,0.6559235959644065,0.6486375785901407,-1.0
dustexplosion,gpt-4o,Normalized,-2.1101846413040994,0.4368497534196919,0.1131016969374224,5,0.6559235959644065,0.6048803489437644,15.872127013201014
ecosystem,gpt-4o,Raw,0.1140184051844576,0.0051241634639187655,0.02913170178761966,2,0.830756092190666,0.9393150358788802,
ecosystem,gpt-4o,Normalized,0.35158020631959586,0.07763772819404942,0.02023030843248004,2,0.830756092190666,0.9853655518656895,
ecosystem,gpt-4o,Raw,0.36653614495518205,0.32741406570553305,0.18060172347906517,3,0.23834547932844954,0.8260828835657509,-1.0
ecosystem,gpt-4o,Normalized,0.40040911603962037,0.5376729245467907,0.15967878227104343,3,0.23834547932844954,0.8103727814624917,3.9442376795698015
electricvehicle,gpt-4o,Raw,0.0462307587669597,0.3294535757009111,0.11565987698775489,2,0.39129909697651294,0.7456849261901621,-1.0
electricvehicle,gpt-4o,Normalized,0.07171077412974614,0.41969570416594143,0.10843276823013376,2,0.39129909697651294,0.7820012788137153,5.7117380605432295
electrolysis,gpt-4o,Raw,0.19968415089910208,0.26876452932488554,0.0990296492840171,2,0.39671556945534575,0.8107361814094182,-1.0
electrolysis,gpt-4o,Normalized,0.23002243340165507,0.33953593737697235,0.09392309659476744,2,0.39671556945534575,0.8327602190725791,5.287289075413384
emergency,gpt-4o,Raw,0.4622018193093048,0.3968000945857759,0.1067253454199961,2,0.010641792825172235,0.4586374816260253,-1.0
emergency,gpt-4o,Normalized,0.4666541893190861,0.3953640698988829,0.10599798631939479,2,0.010641792825172235,0.44889932293358936,2.3243948447031455
engines,gpt-4o,Raw,-0.6570857123927185,0.9303872124295056,0.2548166350101947,2,0.14826147685929322,0.7722271897757327,-1.0
engines,gpt-4o,Normalized,-0.6460716823182704,0.9683270271264618,0.25037069081528973,2,0.14826147685929322,0.7941106068116535,9.477032182182253
enrollment,gpt-4o,Raw,-0.2173650525298878,-0.18220042548124837,0.004584799444901137,2,0.9759723949639902,0.9406454496153464,
enrollment,gpt-4o,Normalized,0.9929020918031908,0.00012113163456584693,3.03104207219026e-05,2,0.9759723949639902,0.9798687566511528,
enrollment,gpt-4o,Raw,-1.1456343433043088,-0.11329202043469884,0.06995746420824933,3,0.8192418735184396,0.9062088630436751,
enrollment,gpt-4o,Normalized,-0.2392666052457182,0.17965460852021375,0.04857548652930611,3,0.8192418735184396,0.8661432407778125,
enrollment,gpt-4o,Raw,-1.7290609269077026,-0.2322826587551188,0.14056545240611185,5,0.6229674220301306,0.862893906876342,-1.0
enrollment,gpt-4o,Normalized,-0.24879965033715123,0.29666538262480635,0.07639156352457745,5,0.6229674220301306,0.6909455847429016,1.3409764897016236
firealarm,gpt-4o,Raw,0.7805123028636599,0.15889241365547419,0.036478551617969625,2,0.338480769723441,0.5186031913916296,
firealarm,gpt-4o,Normalized,0.7611428392434959,0.1354996891113107,0.03669213445036827,2,0.338480769723441,0.4936979795114196,
firealarm,gpt-4o,Raw,-0.07473540582656302,0.23167453154624176,0.08673950013979081,3,0.6165882516914816,0.5243346352023642,-1.0
firealarm,gpt-4o,Normalized,0.17085268695296718,0.4022711214592436,0.07474557380241775,3,0.6165882516914816,0.5629038663877814,2.0300557378266104
firerisk,gpt-4o,Raw,0.17274633334041867,0.21828302000919853,0.07051415507090461,2,0.5295839105746594,0.6752288149520523,-1.0
firerisk,gpt-4o,Normalized,0.265356939983293,0.2726929524854438,0.06508670415918008,2,0.5295839105746594,0.6917171511817382,6.458659644229787
foodallergy1,gpt-4o,Raw,0.3756785372953457,0.3160985976480956,0.061565966656543916,2,0.520583894242309,0.7592085264835705,-1.0
foodallergy1,gpt-4o,Normalized,0.43961901862028896,0.22240026045941524,0.05948880207438728,2,0.520583894242309,0.7464579118240325,1.5368846229090818
foodallergy2,gpt-4o,Raw,0.657615581586197,0.2636284069810526,0.043770729597466716,2,0.5155903844077402,0.5661836081676004,-1.0
foodallergy2,gpt-4o,Normalized,0.6604314936536955,0.19415094741421662,0.043671870802534055,2,0.5155903844077402,0.5086894684320871,1.849583511922896
foodallergy3,gpt-4o,Raw,0.7343987713232809,0.17155203989028153,0.035044759522689706,2,0.5674678862422566,0.5276594343153209,-1.0
foodallergy3,gpt-4o,Normalized,0.6889500751097957,0.17214318458493275,0.035428776649391876,2,0.5674678862422566,0.5238233709969622,1.782931439218808
fundraising,gpt-4o,Raw,-0.14080990695239515,0.30521031695500384,0.08602439939234713,2,0.583968513945758,0.8092821929008954,-1.0
fundraising,gpt-4o,Normalized,-0.14209654537894956,0.34667083355429895,0.08347283548188508,2,0.583968513945758,0.8103882984020416,1.350538397685455
gasexplosion,gpt-4o,Raw,-0.0912775593730335,0.2564449718839143,0.08882135547027616,2,0.5778287636877568,0.8338332474071769,-1.0
gasexplosion,gpt-4o,Normalized,-0.0640338301774297,0.3165613654704812,0.08525967373762908,2,0.5778287636877568,0.8456888426023662,4.395707744640274
gasifier,gpt-4o,Raw,0.4642212097229653,0.02069396196598367,0.040943876755183656,2,0.6200327777564738,0.7753348043981347,-1.0
gasifier,gpt-4o,Normalized,0.5592550680780743,0.12878868666458546,0.03498873049563761,2,0.6200327777564738,0.8071105005358323,5.284453825161927
GDIpathway1,gpt-4o,Raw,-0.24231657802819684,0.1862596043422689,0.07896004838616126,2,0.6713913673481153,0.928344223782997,-1.0
GDIpathway1,gpt-4o,Normalized,-0.15637625485054873,0.25998733976562327,0.07410464593312815,2,0.6713913673481153,0.950659103992547,8.053111237785007
GDIpathway2,gpt-4o,Raw,-0.9248130510899104,0.06550612008486983,0.03554535617231097,2,0.8964375546029761,0.9241123783535188,-1.0
GDIpathway2,gpt-4o,Normalized,-0.6905359068506018,0.12053898471299643,0.03105728277710747,2,0.8964375546029761,0.9474322256400178,1.4599207924331388
greencredit,gpt-4o,Raw,0.11178149392400405,0.18315986820247007,0.1520462937263652,3,0.4676176130643887,0.8854801904629883,-1.0
greencredit,gpt-4o,Normalized,0.22833526917834168,0.4531954441941633,0.12581016421843494,3,0.4676176130643887,0.8512169533922203,4.612017414436169
humanitarian,gpt-4o,Raw,0.07913024119281642,0.20318347094073277,0.1058531039879723,3,0.6088338533575768,0.8555334369418983,-1.0
humanitarian,gpt-4o,Normalized,0.18427932025230254,0.34473322897926195,0.09298138506644309,3,0.6088338533575768,0.8405300532838115,7.5264429598071825
hydraulicsystem,gpt-4o,Raw,0.6202259373812056,0.16947537352802075,0.04693454604804834,2,0.3314499372634438,0.4299244984114072,-1.0
hydraulicsystem,gpt-4o,Normalized,0.6236458124540406,0.18266474832391558,0.04590880141919564,2,0.3314499372634438,0.4429860340176212,0.05168301249744528
inverters,gpt-4o,Raw,0.6174722682582128,0.01556982381014998,0.02489806687652353,2,0.6969799496684446,0.737071197074238,-1.0
inverters,gpt-4o,Normalized,0.6667275103095144,0.08403611657960743,0.021445947535507076,2,0.6969799496684446,0.759392174612971,1.993847345491689
knowledge,gpt-4o,Raw,0.5140069247717973,0.16577256302054025,0.04482942198068523,2,0.5308767513158409,0.7757797134891234,-1.0
knowledge,gpt-4o,Normalized,0.5323423331018808,0.16388891284577142,0.044107309498208846,2,0.5308767513158409,0.7697087137166149,0.5430267770729263
lawschool,gpt-4o,Raw,-0.09470496368879,0.2947485571265769,0.09932016464018875,2,0.5336253903978346,0.9008671533243491,
lawschool,gpt-4o,Normalized,-0.054602973256095755,0.344122519392999,0.09396544300813657,2,0.5336253903978346,0.9152108285118361,
lawschool,gpt-4o,Raw,0.09202964961091087,0.09092963755533515,0.07970209200826923,5,0.5972109806171655,0.7522883784264841,
lawschool,gpt-4o,Normalized,0.14899284466646323,0.2602781250740094,0.07038568707545334,5,0.5972109806171655,0.6907905322621563,
lawschool,gpt-4o,Raw,-2.2972908074355054,-0.02531286984271637,0.1633273598583197,6,0.5726553897715543,0.7632706973202156,-1.0
lawschool,gpt-4o,Normalized,-0.786526271772171,0.4111541353479428,0.11304194566536546,6,0.5726553897715543,0.616977914310955,2.2786251335222363
lidar,gpt-4o,Raw,0.13976924720461525,0.29422808442004855,0.09669241110338259,2,0.44194013331705645,0.8550278990669472,-1.0
lidar,gpt-4o,Normalized,0.1689476882296026,0.32903746581124604,0.09340573987870747,2,0.44194013331705645,0.8620532344382374,2.0245331746576394
liquidity,gpt-4o,Raw,-0.5216764693478324,0.5609214264885987,0.18610610868933422,2,0.3510684860648954,0.8867876882564272,-1.0
liquidity,gpt-4o,Normalized,-0.48842890378454284,0.6366225565083067,0.17939070208885258,2,0.3510684860648954,0.9018115022514953,6.6624970001462875
lithium,gpt-4o,Raw,0.36770453184438134,0.40897984219688893,0.14249420857596676,2,0.010632221480398142,0.7175561441030613,-1.0
lithium,gpt-4o,Normalized,0.3963402974437952,0.4553742035873251,0.1365463728088803,2,0.010632221480398142,0.7291576885569987,10.566796048269708
medicaltest,gpt-4o,Raw,0.3052727361776,0.3647124007361316,0.03647015109889683,2,0.8269717564902247,0.635008876254929,-1.0
